Name,Focus,Weather Sealed,Diameter (mm),Length (mm),Weight (g),Launch Year,Launch Price (USD)
Meike 25mm f/0.95,MF,0,64,101,540,2016, $659.00 
Olympus 25mm f/1.2 PRO,AF,1,70,87,410,2016," $1,199.00 "
Panasonic Leica 25mm f/1.4 ASPH,AF,0,63,55,200,2011, $599.00 
Panasonic Leica 25mm f/1.4 II ASPH,AF,1,63,55,205,2019, $699.00 
Panasonic 25mm f/1.7 ASPH,AF,0,61,52,125,2015, $249.00 
Olympus 25mm f/1.8,AF,0,56,41,136,2014, $399.00 
Kowa Prominar 25mm f/1.8,MF,0,60,94,400,2015, $899.00 
Meike 28mm f/2.8,MF,0,60,29,102,2016, $89.00 
Sigma 30mm f/1.4 DC DN C,AF,0,65,73,265,2016, $339.00 
Yasuhara Nanoha x5 f/11 Macro,no,0,61,84,310,2011, $499.00 
Sigma 30mm f/2.8 EX DN,AF,0,61,39,135,2012, $199.00 
Sigma 30mm f/2.8 DN Art,AF,0,61,41,140,2013, $199.00 
Panasonic 30mm f/2.8 ASPH Mega OIS Macro,AF,0,59,64,180,2015, $399.00 
Olympus ED 30mm f/3.5 Macro,AF,0,57,60,128,2016, $299.00 
Panasonic X 35-100mm f/2.8 Power OIS,AF,1,67,100,360,2012," $1,499.00 "
Panasonic X 35-100mm f/2.8 II Power OIS,AF,1,67,100,357,2017," $1,099.00 "
Panasonic 35-100mm f/4-5.6 ASPH Mega OIS,AF,0,56,50,135,2014, $399.00 
Olympus 40-150mm f/2.8 Pro,AF,1,79,160,880,2014," $1,499.00 "
Olympus 40-150mm f/4.0-5.6 MSC,AF,0,64,86,190,2010, $329.00 
Olympus 40-150mm f/4.0-5.6 R,AF,0,64,86,190,2011, $329.00 
Kodak 42.5-160mm f/3.9-5.9,AF,0,59,80,205,2014, $149.00 
Panasonic 45-150mm f/4-5.6 OIS,AF,0,62,73,200,2012, $299.00 
Panasonic PZ 45-175mm f/4-5.6 Power-OIS X,AF,0,62,90,210,2011, $449.00 
Panasonic 45-200mm f/4-5.6 OIS,AF,0,70,100,380,2008, $349.00 
Panasonic 45-200mm f/4-5.6 II Power-OIS,AF,1,70,100,370,2017, $449.00 
Panasonic Leica 50-200mm f/2.8-4 Power-OIS,AF,1,76,132,655,2018," $1,699.00 "
Olympus 75-300mm f/4.8-6.7 MSC,AF,0,70,116,430,2010, $899.00 
Olympus 75-300mm f/4.8-6.7 II,AF,0,69,117,423,2013, $549.00 
Panasonic 100-300mm f/4-5.6 OIS,AF,0,74,126,520,2010, $599.00 
Panasonic 100-300mm f/4-5.6 II Power-OIS,AF,1,74,126,520,2017, $649.00 
Panasonic Leica 100-400mm f/4-6.3 Power-OIS,AF,1,83,172,985,2016," $1,499.00 "
Panasonic 12.5mm f/12 3D,AF,0,57,21,45,2010, $249.00 
Jackar Snapshooter 34mm f/1.8,MF,0,48,53,145,2012, $190.00 
Mitakon Speedmaster 35mm f/0.95,MF,0,64,82,680,2013, $749.00 
Samyang 35mm f/1.2 ED AS UMC CS,MF,0,68,73,426,2016, $499.00 
Samyang 35mm f/1.4 AS UMC,MF,0,83,136,730,2011, $599.00 
SLR Magic 35mm f/1.7,MF,0,56,40,300,2010, $139.00 
Meike 35mm f/1.7,MF,0,61,41,176,2016, $89.00 
Handevision Ibelux 40mm f/0.85,MF,0,74,128,1200,2014," $2,080.00 "
Voigtlander Nokton 42.5mm f/0.95,MF,0,64,75,571,2013, $999.00 
Mitakon Speedmaster 42.5mm f/1.2,MF,0,60,53,310,2014, $359.00 
Panasonic Leica Nocticron 42.5mm f/1.2 OIS,AF,0,74,77,425,2014," $1,599.00 "
Panasonic 42.5mm f/1.7 ASPH Power OIS,AF,0,55,50,130,2015, $399.00 
Yi 42.5mm f/1.8,AF,0,57,61,120,2016, $249.00 
Olympus ED 45mm F1.2 Pro,AF,1,70,85,410,2017," $1,199.00 "
Olympus 45mm f/1.8 MSC,AF,0,56,46,116,2011, $399.00 
Panasonic Leica 45mm f/2.8 OIS Macro,AF,0,63,63,225,2009, $899.00 
SLR Magic 50mm f/0.95 Hyperprime,MF,0,65,80,490,2013," $1,199.00 "
Samyang 50mm f/1.2 AS UMC CS,MF,0,68,73,385,2015, $549.00 
Samyang 50mm f/1.4 AS UMC,MF,0,82,100,555,2014, $499.00 
Photex MC 50mm f/2 Tilt-Shift,MF,0,63,58,270,2010, $265.00 
Meike 50mm f/2.0,MF,0,61,41,188,2016, $89.00 
Sigma 56mm f/1.4 DC DN C,AF,1,67,58,265,2018, $479.00 
Lensbaby Velvet 56mm f/1.6,MF,0,72,94,400,2015, $499.00 
Olympus 60mm f/2.8 Macro,AF,1,56,82,186,2012, $499.00 
Sigma 60mm f/2.8 DN Art,AF,0,61,56,190,2013, $239.00 
Venus Optics Laowa 60mm f/2.8 2:1 Macro,MF,0,70,95,503,2014, $429.00 
Olympus 75mm f/1.8,AF,0,64,69,305,2012, $899.00 
Samyang 85mm f/1.4 AS IF UMC,MF,0,78,100,565,2013, $399.00 
Lensbaby Velvet 85mm f/1.8,MF,0,76,89,530,2017, $499.00 
Samyang 85mm f/1.8,MF,0,68,81,344,2018, $399.00 
Samyang 100mm f/2.8 ED UMC MACRO,MF,0,73,148,725,2015, $599.00 
Venus Optics Laowa STF 105mm f/2.0,MF,0,76,99,745,2016, $729.00 
Samyang 135mm f/2.0 ED UMC,MF,0,82,147,840,2015, $599.00 
Panasonic Leica 200mm f/2.8 Power-OIS,AF,1,88,174,1245,2017," $2,999.00 "
Olympus 300mm f/4 IS Pro,AF,1,93,227,1475,2016," $2,499.00 "
Tokina Reflex 300mm f/6.3 MF Macro,MF,0,55,66,298,2012, $369.00 
Samyang 300mm f/6.3 ED UMC CS,MF,0,65,73,310,2013, $299.00 
Kodak 400mm f/6.7 Fieldscope,MF,0,70,292,640,2014, $199.00 
